rank,metro_name,city,state,total_score,educational_attainment_rank,quality_of_education_and_attainment_gap_rank,total_score_zscore,educational_attainment_rank_zscore,quality_of_education_and_attainment_gap_rank_zscore
123,Canton-Massillon,Canton,OH,40.72,127,45,-0.8393,1.1894,-0.7043
124,Salem,Salem,OR,40.21,120,119,-0.8728,1.0277,1.0049
125,Shreveport-Bossier City,Shreveport,LA,40.19,125,72,-0.8741,1.1432,-0.0807
126,Scranton--Wilkes-Barre,Scranton,PA,39.58,121,136,-0.9142,1.0508,1.3975
127,Mobile,Mobile,AL,38.9,132,44,-0.9589,1.3048,-0.7274
128,Salisbury,Salisbury,MD,38.5,128,102,-0.9852,1.2125,0.6122
129,Flint,Flint,MI,37.87,129,115,-1.0265,1.2356,0.9125
130,Gulfport-Biloxi,Gulfport,MS,37.02,124,146,-1.0824,1.1201,1.6285
131,Rockford,Rockford,IL,35.92,130,125,-1.1546,1.2587,1.1435
132,El Paso,El Paso,TX,35.12,140,9,-1.2072,1.4896,-1.5358
133,Youngstown-Warren-Boardman,Youngstown,OH,35.03,135,84,-1.2131,1.3741,0.1965
134,Lafayette,Lafayette,LA,33.34,136,105,-1.3241,1.3972,0.6815
135,Huntington-Ashland,Huntington,WV,33.3,133,144,-1.3267,1.3279,1.5823
136,Reading,Reading,PA,33.26,131,149,-1.3294,1.2817,1.6978
137,Lakeland-Winter Haven,Lakeland,FL,32.89,137,64,-1.3537,1.4203,-0.2655
138,Riverside-San Bernardino-Ontario,Riverside,CA,32.72,139,69,-1.3648,1.4665,-0.15
139,Ocala,Ocala,FL,30.92,134,150,-1.4831,1.351,1.7209
140,Corpus Christi,Corpus Christi,TX,30.02,138,137,-1.5422,1.4434,1.4206
141,Beaumont-Port Arthur,Beaumont,TX,27.39,143,85,-1.715,1.5589,0.2196
142,Hickory-Lenoir-Morganton,Hickory,NC,26.89,141,139,-1.7478,1.5127,1.4668
143,Salinas,Salinas,CA,26.32,142,140,-1.7852,1.5358,1.4899
144,Stockton,Stockton,CA,25.33,145,87,-1.8503,1.6051,0.2658
145,Fresno,Fresno,CA,23.9,144,135,-1.9442,1.582,1.3744
146,Modesto,Modesto,CA,17.78,146,145,-2.3462,1.6282,1.6054
147,Bakersfield,Bakersfield,CA,16.91,147,123,-2.4034,1.6513,1.0973
148,McAllen-Edinburg-Mission,McAllen,TX,14.1,150,15,-2.588,1.7205,-1.3972
149,Brownsville-Harlingen,Brownsville,TX,13.09,148,88,-2.6543,1.6744,0.2889
150,Visalia,Visalia,CA,9.12,149,147,-2.9151,1.6974,1.6516
