District,Campus,Region,County,Type,grades_served,Charter,Students,perc_ed,perc_eb_el,overall_score,student_ach_score,school_prog_score,academic_growth_score,relative_perf_score,closing_gap_score,Grant,enroll_type
DALLAS ISD,NANCY MOSELEY EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,655,95.6%,61.4%,85,75,89,89,84,88,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,MOUNT AUBURN STEAM ACADEMY,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,516,90.7%,51.2%,89,72,92,92,81,85,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,CLARA OLIVER EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,212,95.8%,40.6%,84,62,86,86,70,77,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,GEORGE PEABODY EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 06,No,373,94.1%,52.5%,80,72,83,83,80,78,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,ELISHA M PEASE EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,509,98.2%,5.7%,84,70,85,85,79,78,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,JOHN F PEELER EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,263,91.6%,60.1%,85,71,93,93,79,78,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,JOHN J PERSHING EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,393,91.6%,68.7%,86,76,89,89,85,81,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,K B POLK CENTER FOR ACADEMICALLY TALENTED & GIFTED,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 07,No,444,84.7%,50.2%,69,67,72,67,72,63,,COMBINED ENROLLMENT TYPE SCHOOL
DALLAS ISD,PRESTON HOLLOW EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,452,76.8%,55.1%,81,74,86,86,81,84,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,JOHN H REAGAN EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,275,96.7%,66.2%,88,73,88,88,82,83,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,MARTHA TURNER REILLY EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,502,76.7%,39.2%,83,82,88,82,88,90,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,REINHARDT EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,443,90.7%,53.3%,87,72,86,86,81,88,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,JOSEPH J RHOADS LEARNING CENTER,REGION 10: RICHARDSON,DALLAS,Elementary,PK - PK,No,95,95.8%,29.5%,86,        .,        .,        .,        .,        .,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,CHARLES RICE LEARNING CENTER,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,470,96.4%,9.8%,85,77,86,74,86,87,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,ORAN M ROBERTS EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,413,93.7%,53.5%,59,54,65,65,56,59,Yes,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,DAN D ROGERS EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,460,74.8%,49.8%,94,89,91,91,90,100,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,ROSEMONT LOWER - CHRIS V SEMOS BUILDING,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,824,62.1%,32.0%,86,75,91,91,77,88,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,CLINTON P RUSSELL EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,564,95.7%,66.3%,76,58,79,79,63,69,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,ALEX SANGER PREPARATORY SCHOOL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 08,No,753,70.0%,43.4%,83,80,85,82,85,76,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,SAN JACINTO EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,413,96.1%,64.6%,82,62,89,89,70,76,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,SEAGOVILLE EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,588,92.2%,53.9%,83,67,91,91,74,76,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,ASCHER SILBERSTEIN EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,557,92.5%,71.6%,83,72,80,79,80,76,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,LESLIE A STEMMONS EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,617,91.7%,65.6%,81,75,84,80,84,94,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,STEVENS PARK EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 06,No,656,97.3%,59.9%,79,71,86,86,80,77,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,HARRY STONE MONTESSORI ACADEMY,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 08,No,600,58.2%,27.5%,84,86,86,86,86,100,,SELECTIVE ENROL SCHL-CRITERIA-BASED
DALLAS ISD,T G TERRY EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,282,92.9%,54.6%,81,67,79,79,74,72,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,R L THORNTON EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,200,97.5%,4.0%,85,65,92,92,74,78,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,EDWARD TITCHE EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,692,97.8%,47.1%,85,72,89,89,81,84,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,GEORGE W TRUETT EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,886,94.9%,55.8%,84,72,82,82,81,78,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,ADELLE TURNER EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,297,91.9%,4.0%,80,64,93,93,70,76,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,MARK TWAIN SCHOOL FOR THE TALENTED AND GIFTED,REGION 10: RICHARDSON,DALLAS,Elementary,01 - 05,No,158,81.6%,23.4%,83,76,84,80,84,90,,COMBINED ENROLLMENT TYPE SCHOOL
DALLAS ISD,URBAN PARK EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,529,97.5%,65.2%,81,72,82,60,82,68,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,WALNUT HILL EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 07,No,380,74.5%,59.5%,83,75,81,75,81,89,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,DANIEL WEBSTER EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,340,94.4%,36.2%,77,56,82,82,58,68,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,MARTIN WEISS EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,446,97.5%,52.7%,85,73,93,93,83,86,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,WINNETKA EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,759,88.5%,57.6%,91,82,92,92,90,87,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,HARRY C WITHERS EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,423,47.5%,27.7%,85,90,85,70,85,76,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,EDNA ROWE EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,363,92.0%,41.3%,88,75,89,89,84,80,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,NATHAN ADAMS EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,426,93.2%,67.1%,81,73,86,86,82,78,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,HENRY B GONZALEZ PERSONALIZED LEARNING ACADEMY,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,585,90.3%,74.0%,82,77,85,70,85,75,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,BIRDIE ALEXANDER EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,289,86.9%,10.4%,78,59,88,88,63,73,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,NANCY J COCHRAN EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,424,97.4%,46.0%,82,64,83,83,72,77,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,JOHN W RUNYON EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,482,91.3%,43.4%,76,57,70,70,60,69,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,ARTURO SALAZAR EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,431,93.0%,55.9%,78,70,77,75,77,75,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,FRANK GUZICK EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,620,98.4%,46.5%,81,58,85,85,63,75,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,ELEMENTARY' DISCIPLINARY ALTERNATIVE EDUCATION PRG,REGION 10: RICHARDSON,DALLAS,Elementary,04 - 05,No,3,100.0%,33.3%,        .,        .,        .,        .,        .,        .,,SPECIAL ASSIGNMENT SCHOOL
DALLAS ISD,SEAGOVILLE NORTH EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,758,90.5%,51.6%,77,59,86,86,65,75,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,ADELFA BOTELLO CALLEJO EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,521,95.2%,56.8%,86,76,86,86,85,88,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,WHITNEY M YOUNG JR EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,360,92.2%,36.9%,73,54,75,75,56,66,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,LORENZO DE ZAVALA EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 06,No,448,96.7%,59.6%,81,72,86,86,81,74,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,J P STARKS EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 08,No,240,97.1%,19.6%,88,89,91,88,91,89,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,RONALD E MCNAIR EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,419,95.0%,15.3%,79,62,82,82,70,77,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,ELADIO R MARTINEZ LEARNING CENTER,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 06,No,580,98.3%,46.0%,82,72,81,80,81,78,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,FREDERICK DOUGLASS EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,422,98.3%,30.8%,59,57,60,58,60,56,Yes,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,EDUARDO MATA MONTESSORI SCHOOL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 08,No,725,60.0%,36.8%,72,72,74,74,70,72,,SELECTIVE ENROL SCHL-CRITERIA-BASED
DALLAS ISD,JULIAN T SALDIVAR EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 06,No,842,96.3%,86.2%,56,57,60,53,60,46,Yes,ZONED SCHOOL-TRANSFERS ACCEPTED
